情景编号,气候因子,农资通胀因子,市场景气因子,作物组因子加权均值,是否优化代表情景,气候因子标准分数,农资通胀因子标准分数,市场景气因子标准分数,作物组因子加权均值标准分数
1,0.5988129360742606,-0.14841543695352907,-0.6821342453942506,-0.11607716178042589,否,1.2795728310849324,-0.2209104700671476,-1.334375237199466,-0.5660838152301945
2,0.2006925802638331,-0.611933443490778,-0.7954422633375946,-0.19018080112672067,否,0.43118943267083165,-0.9079254054269165,-1.5558034934106029,-0.9287439229388638
3,0.6738238671518407,0.004574758106454357,0.11959509960366699,0.08903590784781887,否,1.4394190376328482,0.005847816531080666,0.23237647233049644,0.43773095797168887
4,-0.7015766531808019,-0.14913483602196734,-0.24156165380038847,0.10069443594490671,是,-1.4915211933558816,-0.2219767455894153,-0.4734015615339927,0.49478730625245426
5,-0.5554204125714077,0.8166569989501656,0.0457277867652001,-0.016066188225694247,否,-1.1800663121925832,1.2094960466570097,0.08802384336647473,-0.07663429883176152
6,-0.5240492696037758,0.9344700302736919,0.3562493380188575,-0.07516337908459536,否,-1.1132152795975876,1.3841156104231187,0.6948497931810312,-0.36585347607100316
7,0.4310473054339345,0.8206046623167415,0.03471997425831171,0.30820677944373565,否,0.9220689411620128,1.2153471757487817,0.06651220833533156,1.5103440253021316
8,0.28952385655712837,1.0791147559202492,-0.42536012748888397,0.1885053005275997,否,0.6204864102487712,1.5985044484805142,-0.8325833410922752,0.9245300002479971
9,0.18023564039325798,-0.8628555993318937,-0.8019863478572747,0.380069887700248,否,0.38759626312987133,-1.2798360243117184,-1.56859204315309,1.8620390676845493
10,-0.6818773621325063,-0.8941401754775576,-0.6835571875257715,-0.011047265465875256,否,-1.4495425523695877,-1.326205250005961,-1.3371559724077158,-0.052071901023583465
11,-0.03437650398683924,1.2053161309732832,0.3220335707929353,0.1514417398876046,否,-0.06973624381891222,1.7855570080392906,0.6279848191987802,0.7431424865935884
12,0.5084546012903705,-0.5050076431725102,-0.6606957267626413,0.10514364114705806,否,1.0870217343620656,-0.749442626423933,-1.2924797572280413,0.5165615301915766
13,-0.6003058166583269,-0.7269199580592156,-0.6333504841269766,0.27989334397784593,否,-1.275715859126534,-1.0783555759043,-1.2390412671512552,1.3717792578191506
14,-0.21344998548395383,0.8615272662175008,-0.5952458538406804,0.10361941645929633,是,-0.4513368492165112,1.2760016480176475,-1.1645766176850232,0.5091020383999157
15,-0.26574648692442954,1.3167188456720975,-0.13192710329212579,-0.28512038675561224,否,-0.562779238357661,1.9506753589087045,-0.259152051391869,-1.3933742792037052
16,0.14127063995620495,0.13822867330814229,-0.7949121276623002,-0.12534418445202983,否,0.30456293160704206,0.20394634693949687,-1.55476749419125,-0.6114362361081659
17,0.10875852530196946,-0.5635694875333906,0.726556425006697,0.05685881371460804,是,0.2352805201015042,-0.8362415450219441,1.4185095484451538,0.28025760677000183
18,0.24845414835933696,-0.6882298375728916,0.3013350750285208,0.26725967735546907,否,0.5329680050625043,-1.0210100353857192,0.5875355031971571,1.3099506224316808
19,0.19722409036523722,0.40406510972314763,0.2518610607325896,-0.7323001817243203,否,0.4237981772261165,0.597962543946181,0.49085263015642877,-3.5818534691478514
20,0.05442018341668088,-0.2557889597938246,-0.37210366937164496,-0.10149857458388865,是,0.11948702579753634,-0.380056852328671,-0.7285087586670655,-0.49473682000059
