训练情景编号,是否优化代表情景,销量相对中心路径偏差/%,亩产量相对基准偏差/%,成本相对中心路径偏差/%,可变价格相对中心路径偏差/%,销量扰动标准分数,亩产扰动标准分数,成本扰动标准分数,价格扰动标准分数
1,否,0.3633440612454353,-0.04851430666078322,0.16947053175757257,-0.23326108086454372,1.9163499492030578,-0.13613915661110723,0.6819377139325568,-0.9402714839254559
2,否,0.30118021774915404,-0.38447156752226086,0.20032686911647377,0.18119890251494505,1.5844301200213267,-1.0757008711626772,0.8213760257529183,0.5474710503465446
3,否,-0.09422895352199519,0.25066238166704574,0.05199648214856547,0.210877453914825,-0.5268316231986044,0.7005594208161481,0.1510781057536855,0.6540049620481017
4,否,0.22852553376829077,0.09747499811110186,0.12473204333378869,0.16224292938654047,1.1964951253387115,0.2721448053010019,0.4797666258138417,0.4794268274237672
5,否,-0.2328517971314053,-0.012055061143356246,-0.4490773603756553,0.38329708177502925,-1.266999347452555,-0.034174665229762466,-2.1132506085149187,1.2729212010040438
6,否,0.15586080925038454,-0.7885387031341969,-0.13808165552665105,-0.2553997260749348,0.8085065198567511,-2.205743453829252,-0.7078759017524822,-1.0197402033470324
7,否,0.029168495139814798,-0.040656775795723216,0.019141684499055605,0.14382448585466776,0.13204108765203001,-0.11416423291757921,0.0026088475212049183,0.4133121168212619
8,否,-0.14277955441356752,0.219250169546772,0.2762005494013854,0.33942592969308466,-0.7860644223347311,0.6127098181556742,1.1642455558423015,1.1154416333805928
9,否,0.21882020451899276,-0.04610941162255887,0.205800101535618,0.41615253824979215,1.1446741463676773,-0.12941345793254141,0.8461093011202812,1.3908589079977516
10,否,0.06989422927720813,0.07712632148196903,-0.05312201726650185,0.13660517767212643,0.3494935159111167,0.21523626445417493,-0.3239473624034533,0.38739774080935535
11,否,0.004241048641235666,0.2480087421329047,-0.0696129125818196,0.1070680983499638,-0.0010574036637472435,0.6931380657779922,-0.3984689291217692,0.28137165624641786
12,否,0.038612052467460425,-0.045606653852678515,0.15429002205723874,0.31638943223735994,0.18246435234684472,-0.12800741017795014,0.6133377170966864,1.0327499900859256
13,否,-0.09345371707673,0.4514090717969761,-0.2945669602464428,-0.2051528201929675,-0.5226922982467413,1.2619817394925694,-1.4150255047992009,-0.8393742763723218
14,否,0.41518767533655265,-0.11246567287671086,0.2542365594120579,0.3747258177504682,2.1931655797281664,-0.3149900471549707,1.0649913362202936,1.2421538541595138
15,否,-0.3309453764727962,0.3128288980841579,0.2335030199089843,-0.4916809728936498,-1.7907636816312615,0.8744186748259718,0.9712974634594886,-1.867893644064513
16,否,-0.046440222141828094,0.4284315396457046,-0.20894639542125035,-0.19924893821434722,-0.2716667771339368,1.1977211563194199,-1.0281102699329778,-0.8181817446704783
17,否,-0.08222888073602881,0.10273383944765788,-0.029300535108805592,-0.43875945292759244,-0.4627580092573337,0.28685205100856387,-0.21629922456735876,-1.677926941875708
18,否,-0.11322422653280606,0.050931326454352145,-0.2545042646993845,0.03852647693893323,-0.6282556571450554,0.14197749821198452,-1.2339841009190529,0.03533515180591423
19,是,0.03384330973718761,-0.47026554883299965,-0.18250370587652814,-0.08743769683669912,0.1570019583985287,-1.3156383559838785,-0.9086170213591204,-0.41682492790158376
20,否,-0.3256998095324652,-0.3966059119646071,0.034611520515296174,0.406758484007383,-1.7627553155961053,-1.109636632634167,0.0725162961322486,1.3571380793866725
21,否,0.020852579778609683,-0.5777826183983767,0.22750143419418264,0.39793292660047747,0.08763879443883678,-1.6163281579109703,0.9441765848346724,1.3254579228710786
22,否,0.07718738500498817,-0.08602185307406088,-0.47161937699705064,0.14860275769459622,0.3884348500888422,-0.24103540003896465,-2.2151169028243816,0.43046416657673053
23,否,0.1046915369113387,0.10879049254918632,0.3653387401584021,-0.10351769216946638,0.5352914935827467,0.3037905132341578,1.5670567739499577,-0.47454556189955593
24,否,0.22087839707800885,0.3962839370209408,-0.1279420900963754,-0.7773717908319766,1.1556637326639718,1.107814908830101,-0.6620556908264474,-2.893407320999244
25,是,-0.02409717285288377,0.418362435780987,-0.04325803688926755,-0.3612481852108433,-0.15236750787576994,1.169561191963023,-0.27937250714332457,-1.3996930604590663
26,否,0.07348155933413501,0.18997311469416295,-0.036127476820906224,0.0739984309889079,0.3686478331596133,0.5308315465451681,-0.24714984744456533,0.16266501941720793
27,否,-0.1863412566166821,0.07125891747866886,0.11779138193448856,0.5085100720498045,-1.0186593189966178,0.19882706957274476,0.4484021091125107,1.7223848378941777
28,否,-0.19991446135248428,-0.5406014475070039,0.018270824733365634,0.4019138537784395,-1.091132569425955,-1.5123446792323023,-0.0013265260828516795,1.3397478300418528
